FILE_NAME: FA001117.CSV
ROM_CODE: 6500000043937941
DEVICE_NAME: DS1922L
UPLOAD_TIME: 2017-06-20T09:55:05
MAC_ADDRESS: 00:04:A3:C1:42:3F
TEMPERATURE_UNITS: Centigrade

GPSRAM_0-15: Bog Trail

REGS_16-17:
RTC_Time: 2017-06-20T09:56:26
Temp_Latest: 21.137
Temp_LowAlarmThreshold: 0.000
Temp_HighAlarmThreshold: 0.000
Temp_LowAlarmEnable: FALSE
Temp_HighAlarmEnable: FALSE
Temp_LowAlarmState: FALSE
Temp_HighAlarmState: FALSE
Mission_InProgress: FALSE
Mission_RolloverEnabled: FALSE
Mission_TempLoggingFormat: 16 bit
Mission_TempLoggingEnabled: TRUE
Mission_StartOnTempAlarm: FALSE
Mission_WaitingForTempAlarm: FALSE
Mission_MemoryCleared: FALSE
Mission_StartDelay: 0 Min
Mission_TimeBetweenConversions: 600 Sec
Mission_TimeStamp: 2017-06-02T15:02:01
Mission_SamplesCounter: 2562
Mission_RolloverOccurred: No
Device_SamplesCounter: 11749
Device_OscillatorEnabled: TRUE
Device_BatteryResetAlarm: FALSE
Password_Enabled: FALSE
Password_ReadAccess_HEX: 00,00,00,00,00,00,00,00
Password_ReadAccess_ASCII: 
Password_FullAccess_HEX: 00,00,00,00,00,00,00,00
Password_FullAccess_ASCII: 

DATALOGS_128-383:
DataLog_NumSamples: 2562
DataLog_FirstSampleTime: 2017-06-02T15:02:01
DataLog_LastSampleTime: 2017-06-20T09:52:01
DataLog_SampleDuration: 17T18:50:00
DataLog_LowestTemp: 11.4
DataLog_HighestTemp: 21.6

TimeStamp,Temperature
2017-06-02T15:02:01,13.7
2017-06-02T15:12:01,13.7
2017-06-02T15:22:01,13.7
2017-06-02T15:32:01,13.7
2017-06-02T15:42:01,13.7
2017-06-02T15:52:01,13.7
2017-06-02T16:02:01,13.6
2017-06-02T16:12:01,13.6
2017-06-02T16:22:01,13.6
2017-06-02T16:32:01,13.6
2017-06-02T16:42:01,13.6
2017-06-02T16:52:01,13.6
2017-06-02T17:02:01,13.6
2017-06-02T17:12:01,13.6
2017-06-02T17:22:01,13.6
2017-06-02T17:32:01,13.5
2017-06-02T17:42:01,13.5
2017-06-02T17:52:01,13.5
2017-06-02T18:02:01,13.5
2017-06-02T18:12:01,13.4
2017-06-02T18:22:01,13.4
2017-06-02T18:32:01,13.4
2017-06-02T18:42:01,13.4
2017-06-02T18:52:01,13.4
2017-06-02T19:02:01,13.4
2017-06-02T19:12:01,13.3
2017-06-02T19:22:01,13.3
2017-06-02T19:32:01,13.3
2017-06-02T19:42:01,13.3
2017-06-02T19:52:01,13.2
2017-06-02T20:02:01,13.2
2017-06-02T20:12:01,13.2
2017-06-02T20:22:01,13.2
2017-06-02T20:32:01,13.2
2017-06-02T20:42:01,13.2
2017-06-02T20:52:01,13.2
2017-06-02T21:02:01,13.1
2017-06-02T21:12:01,13.1
2017-06-02T21:22:01,13.1
2017-06-02T21:32:01,13.1
2017-06-02T21:42:01,13.1
2017-06-02T21:52:01,13.1
2017-06-02T22:02:01,13.1
2017-06-02T22:12:01,13.1
2017-06-02T22:22:01,13.1
2017-06-02T22:32:01,13.1
2017-06-02T22:42:01,13.0
2017-06-02T22:52:01,13.0
2017-06-02T23:02:01,13.0
2017-06-02T23:12:01,13.0
2017-06-02T23:22:01,12.9
2017-06-02T23:32:01,12.9
2017-06-02T23:42:01,12.9
2017-06-02T23:52:01,12.9
2017-06-03T00:02:01,12.9
2017-06-03T00:12:01,12.9
2017-06-03T00:22:01,12.9
2017-06-03T00:32:01,12.8
2017-06-03T00:42:01,12.8
2017-06-03T00:52:01,12.7
2017-06-03T01:02:01,12.7
2017-06-03T01:12:01,12.7
2017-06-03T01:22:01,12.7
2017-06-03T01:32:01,12.7
2017-06-03T01:42:01,12.7
2017-06-03T01:52:01,12.6
2017-06-03T02:02:01,12.6
2017-06-03T02:12:01,12.6
2017-06-03T02:22:01,12.6
2017-06-03T02:32:01,12.6
2017-06-03T02:42:01,12.6
2017-06-03T02:52:01,12.6
2017-06-03T03:02:01,12.5
2017-06-03T03:12:01,12.5
2017-06-03T03:22:01,12.5
2017-06-03T03:32:01,12.4
2017-06-03T03:42:01,12.4
2017-06-03T03:52:01,12.4
2017-06-03T04:02:01,12.4
2017-06-03T04:12:01,12.4
2017-06-03T04:22:01,12.4
2017-06-03T04:32:01,12.4
2017-06-03T04:42:01,12.3
2017-06-03T04:52:01,12.3
2017-06-03T05:02:01,12.3
2017-06-03T05:12:01,12.3
2017-06-03T05:22:01,12.3
2017-06-03T05:32:01,12.3
2017-06-03T05:42:01,12.3
2017-06-03T05:52:01,12.2
2017-06-03T06:02:01,12.2
2017-06-03T06:12:01,12.2
2017-06-03T06:22:01,12.2
2017-06-03T06:32:01,12.2
2017-06-03T06:42:01,12.2
2017-06-03T06:52:01,12.2
2017-06-03T07:02:01,12.2
2017-06-03T07:12:01,12.2
2017-06-03T07:22:01,12.2
2017-06-03T07:32:01,12.3
2017-06-03T07:42:01,12.3
2017-06-03T07:52:01,12.3
2017-06-03T08:02:01,12.3
2017-06-03T08:12:01,12.3
2017-06-03T08:22:01,12.3
2017-06-03T08:32:01,12.3
2017-06-03T08:42:01,12.4
2017-06-03T08:52:01,12.4
2017-06-03T09:02:01,12.4
2017-06-03T09:12:01,12.4
2017-06-03T09:22:01,12.5
2017-06-03T09:32:01,12.5
2017-06-03T09:42:01,12.6
2017-06-03T09:52:01,12.6
2017-06-03T10:02:01,12.6
2017-06-03T10:12:01,12.6
2017-06-03T10:22:01,12.6
2017-06-03T10:32:01,12.7
2017-06-03T10:42:01,12.7
2017-06-03T10:52:01,12.8
2017-06-03T11:02:01,12.9
2017-06-03T11:12:01,12.9
2017-06-03T11:22:01,12.9
2017-06-03T11:32:01,12.9
2017-06-03T11:42:01,13.0
2017-06-03T11:52:01,13.0
2017-06-03T12:02:01,13.0
2017-06-03T12:12:01,13.0
