FILE_NAME: FA001118.CSV
ROM_CODE: 390000004393D941
DEVICE_NAME: DS1922L
UPLOAD_TIME: 2017-06-20T09:58:18
MAC_ADDRESS: 00:04:A3:C1:42:3F
TEMPERATURE_UNITS: Centigrade

GPSRAM_0-15: Bog Trail

REGS_16-17:
RTC_Time: 2017-06-20T09:59:16
Temp_Latest: 21.157
Temp_LowAlarmThreshold: 0.000
Temp_HighAlarmThreshold: 0.000
Temp_LowAlarmEnable: FALSE
Temp_HighAlarmEnable: FALSE
Temp_LowAlarmState: FALSE
Temp_HighAlarmState: FALSE
Mission_InProgress: FALSE
Mission_RolloverEnabled: FALSE
Mission_TempLoggingFormat: 16 bit
Mission_TempLoggingEnabled: TRUE
Mission_StartOnTempAlarm: FALSE
Mission_WaitingForTempAlarm: FALSE
Mission_MemoryCleared: FALSE
Mission_StartDelay: 0 Min
Mission_TimeBetweenConversions: 600 Sec
Mission_TimeStamp: 2017-06-02T15:01:01
Mission_SamplesCounter: 2562
Mission_RolloverOccurred: No
Device_SamplesCounter: 9566
Device_OscillatorEnabled: TRUE
Device_BatteryResetAlarm: FALSE
Password_Enabled: FALSE
Password_ReadAccess_HEX: 00,00,00,00,00,00,00,00
Password_ReadAccess_ASCII: 
Password_FullAccess_HEX: 00,00,00,00,00,00,00,00
Password_FullAccess_ASCII: 

DATALOGS_128-383:
DataLog_NumSamples: 2562
DataLog_FirstSampleTime: 2017-06-02T15:01:01
DataLog_LastSampleTime: 2017-06-20T09:51:01
DataLog_SampleDuration: 17T18:50:00
DataLog_LowestTemp: 11.6
DataLog_HighestTemp: 21.7

TimeStamp,Temperature
2017-06-02T15:01:01,12.6
2017-06-02T15:11:01,12.6
2017-06-02T15:21:01,12.6
2017-06-02T15:31:01,12.6
2017-06-02T15:41:01,12.6
2017-06-02T15:51:01,12.6
2017-06-02T16:01:01,12.6
2017-06-02T16:11:01,12.6
2017-06-02T16:21:01,12.6
2017-06-02T16:31:01,12.6
2017-06-02T16:41:01,12.6
2017-06-02T16:51:01,12.6
2017-06-02T17:01:01,12.6
2017-06-02T17:11:01,12.6
2017-06-02T17:21:01,12.6
2017-06-02T17:31:01,12.6
2017-06-02T17:41:01,12.6
2017-06-02T17:51:01,12.6
2017-06-02T18:01:01,12.6
2017-06-02T18:11:01,12.6
2017-06-02T18:21:01,12.6
2017-06-02T18:31:01,12.6
2017-06-02T18:41:01,12.6
2017-06-02T18:51:01,12.6
2017-06-02T19:01:01,12.6
2017-06-02T19:11:01,12.6
2017-06-02T19:21:01,12.6
2017-06-02T19:31:01,12.6
2017-06-02T19:41:01,12.6
2017-06-02T19:51:01,12.6
2017-06-02T20:01:01,12.6
2017-06-02T20:11:01,12.6
2017-06-02T20:21:01,12.6
2017-06-02T20:31:01,12.6
2017-06-02T20:41:01,12.6
2017-06-02T20:51:01,12.6
2017-06-02T21:01:01,12.6
2017-06-02T21:11:01,12.6
2017-06-02T21:21:01,12.5
2017-06-02T21:31:01,12.5
2017-06-02T21:41:01,12.5
2017-06-02T21:51:01,12.5
2017-06-02T22:01:01,12.5
2017-06-02T22:11:01,12.5
2017-06-02T22:21:01,12.5
2017-06-02T22:31:01,12.5
2017-06-02T22:41:01,12.5
2017-06-02T22:51:01,12.5
